Unnamed: 0,review_text,text,review_rating,new_text,sent_difference,room,location,clean,service,value,other
11,We stayed at the Innside when we visited with family and friends. The hotel was perfectly situated for everything we wanted to do. The staff were helpful and polite. Our room wasnâ€™t the biggest we have stayed in at NYC but was kept really clean. We would stay there again,We stayed Innside We visited family friend. The hotel wa perfectly situated everything We wanted. The staff helpful polite. We room â€™ biggest We stayed NYC wa kept really clean. We would stay,4,We stayed at the Innside when we visited with family and friends. The hotel was perfectly situated for everything we wanted to do. The staff were helpful and polite. Our room wasnâ€™t the biggest we have stayed in at NYC but was kept really clean. We would stay there again,FALSE,We stayed at the Innside when we visited with family and friends. Our room wasnâ€™t the biggest we have stayed in at NYC but was kept really clean. We would stay there again,,Our room wasnâ€™t the biggest we have stayed in at NYC but was kept really clean.,The staff were helpful and polite.,,The hotel was perfectly situated for everything we wanted to do.
12,My husband and I traveled with two other couples to dine our way through the cityâ€¦ Our accommodations were perfect and the staff was lovely! Everything we need it was only a block away with easy access to the subway and only blocks from some of our favorite places.,My husband I traveled two couple dine My husband I way cityâ€¦ My husband I accommodation perfect staff wa lovely! Everything My husband I need wa block away easy access subway block favorite place.,5,My husband and I traveled with two other couples to dine our way through the cityâ€¦ Our accommodations were perfect and the staff was lovely! Everything we need it was only a block away with easy access to the subway and only blocks from some of our favorite places. ,FALSE,My husband and I traveled with two other couples to dine our way through the cityâ€¦ Our accommodations were perfect and the staff was lovely!,,,My husband and I traveled with two other couples to dine our way through the cityâ€¦ Our accommodations were perfect and the staff was lovely!,,Everything we need it was only a block away with easy access to the subway and only blocks from some of our favorite places.
13,"Stayed at this beautiful hotel to celebrate our 10th wedding anniversary and saw the new year in also!  We had a suite on the 20th floor and it didnâ€™t disappoint! Great veiws, beautiful room and fabulous staff! We will most definitely be back!","Stayed beautiful hotel celebrate 10th wedding anniversary saw new year also! suite 20th floor suite 20th floor â€™ disappoint! Great veiws, beautiful room fabulous staff! definitely back!",5,"Stayed at this beautiful hotel to celebrate our 10th wedding anniversary and saw the new year in also!  We had a suite on the 20th floor and it didnâ€™t disappoint! Great veiws, beautiful room and fabulous staff! We will most definitely be back!",FALSE,"Stayed at this beautiful hotel to celebrate our 10th wedding anniversary and saw the new year in also! We had a suite on the 20th floor and it didnâ€™t disappoint! Great veiws, beautiful room and fabulous staff!",Stayed at this beautiful hotel to celebrate our 10th wedding anniversary and saw the new year in also!,"Great veiws, beautiful room and fabulous staff!","Great veiws, beautiful room and fabulous staff!",,We will most definitely be back!
14,"Is was a wonderful family vacations, staff extremely friendly, beds are very comfortable, very quiet hotel and at the same time waking distance to every place. Restaurant was very good !!! I will come back and I recommned 100% ","Is wa wonderful family vacation, staff extremely friendly, bed comfortable, quiet hotel time waking distance every place. Restaurant wa good!!! I come back I recommned 100%",5,"Is was a wonderful family vacations, staff extremely friendly, beds are very comfortable, very quiet hotel and at the same time waking distance to every place. Restaurant was very good !!! I will come back and I recommned 100%",FALSE,"Is was a wonderful family vacations, staff extremely friendly, beds are very comfortable, very quiet hotel and at the same time waking distance to every place.","Is was a wonderful family vacations, staff extremely friendly, beds are very comfortable, very quiet hotel and at the same time waking distance to every place.",,"Is was a wonderful family vacations, staff extremely friendly, beds are very comfortable, very quiet hotel and at the same time waking distance to every place. Restaurant was very good !!!",,I will come back and I recommned 100%
15,"Location in the city was excellent.  We stayed there 3 nights, and did not have to use any transportation services, including uber.  We came with the bus from DC to NYC Penn Station which is 10 minutes walk from the hotel. The hotel was clean and modern.  The size is as expected for big city hotels.","Location city wa excellent. We stayed 3 night, use transportation service, including uber. We came bus DC NYC Penn Station 10 minute walk hotel. hotel wa clean modern. The size expected big city hotel.",5,"Location in the city was excellent. We stayed there 3 nights, and did not have to use any transportation services, including uber. We came with the bus from DC to NYC Penn Station which is 10 minutes walk from the hotel. The hotel was clean and modern. The size is as expected for big city hotels. ",FALSE,"We stayed there 3 nights, and did not have to use any transportation services, including uber. The size is as expected for big city hotels.",Location in the city was excellent. We came with the bus from DC to NYC Penn Station which is 10 minutes walk from the hotel.,The hotel was clean and modern.,"We stayed there 3 nights, and did not have to use any transportation services, including uber.",,
16,"On arrival we had major issues with our booking - hotel insisted that we didnâ€™t have one which was not a fun experience having just arrived from Ireland and an exceptionally long trip due to covid testing requirements before we left home and unfortunately found the duty manager that day to initially be quite dismissive of our dilemma. But very pleased to say the issue was eventually resolved and we found the hotel to be very central, within easy walking distance of Times Square. The room was clean, beds very comfortable, had a mini fridge and safe and I would have no hesitation in recommending - just make sure to bring proof of your booking with you!!","On arrival major issue booking- hotel insisted â€™ one wa fun experience arrived Ireland exceptionally long trip due covid testing requirement left home unfortunately found duty manager day initially quite dismissive dilemma. But pleased say issue wa eventually resolved found booking- hotel central, within easy walking distance Times Square. The room wa clean, bed comfortable, mini fridge safe I would hesitation recommending- make sure bring proof booking!!",4,"On arrival we had major issues with our booking - hotel insisted that we didnâ€™t have one which was not a fun experience having just arrived from Ireland and an exceptionally long trip due to covid testing requirements before we left home and unfortunately found the duty manager that day to initially be quite dismissive of our dilemma. But very pleased to say the issue was eventually resolved and we found the hotel to be very central, within easy walking distance of Times Square. The room was clean, beds very comfortable, had a mini fridge and safe and I would have no hesitation in recommending - just make sure to bring proof of your booking with you!!",FALSE,"The room was clean, beds very comfortable, had a mini fridge and safe and I would have no hesitation in recommending - just make sure to bring proof of your booking with you!","But very pleased to say the issue was eventually resolved and we found the hotel to be very central, within easy walking distance of Times Square.","The room was clean, beds very comfortable, had a mini fridge and safe and I would have no hesitation in recommending - just make sure to bring proof of your booking with you!","On arrival we had major issues with our booking - hotel insisted that we didnâ€™t have one which was not a fun experience having just arrived from Ireland and an exceptionally long trip due to covid testing requirements before we left home and unfortunately found the duty manager that day to initially be quite dismissive of our dilemma. The room was clean, beds very comfortable, had a mini fridge and safe and I would have no hesitation in recommending - just make sure to bring proof of your booking with you!",,!
17,"A shocking experience staying here. Had to raise concern to management and receptionist. Initial trying to handle the situation and trying to redeem themselves by given us a different room, which was nice. Some breakfast vouchers which we could not use all days as restaurant were closed on mondays, what a joke. And some other promises that never happend. Really badly managed and in general very dissatisfied from this Melia hotel. Not a safe stay! Cleaning missing towels in room and even leave with your door open letting you room available for everyone. NOT acceptable and be careful booking this hotel. Management tried to manage the  ","A shocking experience staying. Had raise concern management receptionist. Initial trying handle situation trying redeem given u different room, wa nice. Some breakfast voucher u could use day restaurant closed monday, joke. And promise never happend. Really badly managed general dissatisfied Melia hotel. Not safe stay! Cleaning missing towel room even leave door open letting room available everyone. NOT acceptable careful booking Melia hotel. Management tried manage",2,"A shocking experience staying here. Had to raise concern to management and receptionist. Initial trying to handle the situation and trying to redeem themselves by given us a different room, which was nice. Some breakfast vouchers which we could not use all days as restaurant were closed on mondays, what a joke. And some other promises that never happend. Really badly managed and in general very dissatisfied from this Melia hotel. Not a safe stay! Cleaning missing towels in room and even leave with your door open letting you room available for everyone. NOT acceptable and be careful booking this hotel. Management tried to manage the",FALSE,"A shocking experience staying here. Initial trying to handle the situation and trying to redeem themselves by given us a different room, which was nice. Not a safe stay! Cleaning missing towels in room and even leave with your door open letting you room available for everyone.",,Cleaning missing towels in room and even leave with your door open letting you room available for everyone.,"Some breakfast vouchers which we could not use all days as restaurant were closed on mondays, what a joke. NOT acceptable and be careful booking this hotel.",,Had to raise concern to management and receptionist. And some other promises that never happend. Really badly managed and in general very dissatisfied from this Melia hotel. Management tried to manage the
18,"Great hotel, great staff and really great vibe in the bar and restaurant. I liked the location as we could walk to everything, whether we wanted the hustle and bustle of downtown or the serenity of the Village. Great spot.","Great hotel, great staff really great vibe bar restaurant. I liked location could walk everything, whether wanted hustle bustle downtown serenity Village. Great spot.",5,"Great hotel, great staff and really great vibe in the bar and restaurant. I liked the location as we could walk to everything, whether we wanted the hustle and bustle of downtown or the serenity of the Village. Great spot. ",FALSE,"I liked the location as we could walk to everything, whether we wanted the hustle and bustle of downtown or the serenity of the Village.","I liked the location as we could walk to everything, whether we wanted the hustle and bustle of downtown or the serenity of the Village.","Great hotel, great staff and really great vibe in the bar and restaurant. Great spot.","Great hotel, great staff and really great vibe in the bar and restaurant.",,
19,"The hotel was in a great location! Rooms are rather small but just what you need for somewhere to sleep and have a shower. I would recommend ensuring you have your booking confirmation printed as we had booked two rooms and only one room was showing on the system when we arrived at the reception. Fortunately, the confirmation showed that two had been booked and paid for. Also, donâ€™t expect to receive your incidental deposit back in a hurry. We departed on 7th December and have still not received the money back for both rooms. We have tried to contact the hotel (email and  phone) but have still received no reply.","The hotel wa great location! Rooms rather small need somewhere sleep shower. I would recommend ensuring booking confirmation printed booked two room one room wa showing system arrived reception. Fortunately, confirmation showed two booked paid. Also, â€™ expect receive incidental deposit back hurry. departed 7th December still received money back two room. tried contact hotel( email phone) still received reply.",3,"The hotel was in a great location! Rooms are rather small but just what you need for somewhere to sleep and have a shower. I would recommend ensuring you have your booking confirmation printed as we had booked two rooms and only one room was showing on the system when we arrived at the reception. Fortunately, the confirmation showed that two had been booked and paid for. Also, donâ€™t expect to receive your incidental deposit back in a hurry. We departed on 7th December and have still not received the money back for both rooms. We have tried to contact the hotel (email and  phone) but have still received no reply. ",FALSE,Rooms are rather small but just what you need for somewhere to sleep and have a shower. I would recommend ensuring you have your booking confirmation printed as we had booked two rooms and only one room was showing on the system when we arrived at the reception. We departed on 7th December and have still not received the money back for both rooms.,The hotel was in a great location!,The hotel was in a great location!,"I would recommend ensuring you have your booking confirmation printed as we had booked two rooms and only one room was showing on the system when we arrived at the reception. Fortunately, the confirmation showed that two had been booked and paid for.",,"Also, donâ€™t expect to receive your incidental deposit back in a hurry. We have tried to contact the hotel (email and  phone) but have still received no reply."
20,"The hotel was perfect for our trip. We had two rooms, on same floor, a few doors apart. The rooms were clean, and comfortable. Location of hotel is awesome, some great restaurants close by as is the subway station. The staff was friendly and helpful. ","The hotel wa perfect trip. two room, floor, door apart. two room clean, comfortable. Location hotel awesome, great restaurant close subway station. The staff wa friendly helpful.",5,"The hotel was perfect for our trip. We had two rooms, on same floor, a few doors apart. The rooms were clean, and comfortable. Location of hotel is awesome, some great restaurants close by as is the subway station. The staff was friendly and helpful. ",FALSE,"We had two rooms, on same floor, a few doors apart. The rooms were clean, and comfortable.","Location of hotel is awesome, some great restaurants close by as is the subway station.","The rooms were clean, and comfortable. Location of hotel is awesome, some great restaurants close by as is the subway station.","Location of hotel is awesome, some great restaurants close by as is the subway station. The staff was friendly and helpful.",,The hotel was perfect for our trip.
21,"Bathroom door was broken and would close. In room safe battery was low and couldnâ€™t be used. The beds have one light comforter, which is not warm enough for winter. Thereâ€™s no in room coffee pot or kettle. The room is sterile, filled with white furniture, the majority of which was stained and scratched. The rooms are not trendy, theyâ€™re just ugly and unwelcoming. The only good thing was the view. ","Bathroom door wa broken would close. In room safe battery wa low â€™ used. The bed one light comforter, warm enough winter. There â€™ room coffee pot kettle. room sterile, filled white furniture, majority wa stained scratched. The room trendy, The room â€™ ugly unwelcoming. The good thing wa view.",2,"Bathroom door was broken and would close. In room safe battery was low and couldnâ€™t be used. The beds have one light comforter, which is not warm enough for winter. Thereâ€™s no in room coffee pot or kettle. The room is sterile, filled with white furniture, the majority of which was stained and scratched. The rooms are not trendy, theyâ€™re just ugly and unwelcoming. The only good thing was the view. ",FALSE,"Bathroom door was broken and would close. In room safe battery was low and couldnâ€™t be used. The beds have one light comforter, which is not warm enough for winter. Thereâ€™s no in room coffee pot or kettle. The room is sterile, filled with white furniture, the majority of which was stained and scratched. The rooms are not trendy, theyâ€™re just ugly and unwelcoming.",The only good thing was the view.,"The beds have one light comforter, which is not warm enough for winter. Thereâ€™s no in room coffee pot or kettle. The room is sterile, filled with white furniture, the majority of which was stained and scratched.",,,
22,"Location of the hotel was good, walkable to many attractions. Very friendly and helpful staff . Very good sized rooms with plenty of storage. Bed was so comfortable and room was very well soundproofed, didnâ€™t hear a sound. Great value Would definitely recommend!","Location hotel wa good, walkable many attraction. Very friendly helpful staff. Very good sized room plenty storage. Bed wa comfortable room wa well soundproofed, â€™ hear sound. Great value Would definitely recommend!",4,"Location of the hotel was good, walkable to many attractions. Very friendly and helpful staff. Very good sized rooms with plenty of storage. Bed was so comfortable and room was very well soundproofed, didnâ€™t hear a sound. Great value Would definitely recommend!",FALSE,"Very good sized rooms with plenty of storage. Bed was so comfortable and room was very well soundproofed, didnâ€™t hear a sound.","Location of the hotel was good, walkable to many attractions.",Very good sized rooms with plenty of storage. Great value Would definitely recommend!,Very friendly and helpful staff.,Great value Would definitely recommend!,
23,We stayed in a family suite with is 2 connecting rooms; one with a King and the other with 2 doubles.  This worked well for our family of 4.  Hotel is updated and clean.  All staff we encountered were very friendly.  ,We stayed family suite 2 connecting room; one King 2 double. This worked well We family 4. Hotel updated clean. All staff We encountered friendly.,5,We stayed in a family suite with is 2 connecting rooms; one with a King and the other with 2 doubles. This worked well for our family of 4. Hotel is updated and clean. All staff we encountered were very friendly. ,FALSE,We stayed in a family suite with is 2 connecting rooms; one with a King and the other with 2 doubles.,,Hotel is updated and clean.,All staff we encountered were very friendly.,,This worked well for our family of 4.
24,"The rooms for this hotel are quite small but to be fair to the hotel the sizes are listed on their website.  Overall a very nice hotel, a great location and the staff are very helpful so all good in that respect.  Our main issue is the hotels policy on generating income as they seem to give priority to anyone that hires their function rooms over their guests.  After a meal in Greenwich village we decided to go back to the hotel for drinks rather than walking around looking for places to go as it was cold and raining.  Other than the reception area the only place hotel guests can go (other than their room) is the restaurant/function room.   On arriving back at the hotel we discovered that restaurant/function room was booked out for an external private party and none of the hotelâ€¦","The room hotel quite small fair hotel size listed The room hotel website. Overall nice hotel, great location staff helpful good respect. Our main issue hotel policy generating income income seem give priority anyone hire income function room income guest. After meal Greenwich village Our decided go back hotel drink rather walking around looking place go wa cold raining. Other reception area place hotel guest go( Other reception area place room) restaurant/function room. On arriving back hotel Our discovered restaurant/function room wa booked external private party none hotelâ€¦",3,"The rooms for this hotel are quite small but to be fair to the hotel the sizes are listed on their website. Overall a very nice hotel, a great location and the staff are very helpful so all good in that respect. Our main issue is the hotels policy on generating income as they seem to give priority to anyone that hires their function rooms over their guests. After a meal in Greenwich village we decided to go back to the hotel for drinks rather than walking around looking for places to go as it was cold and raining. Other than the reception area the only place hotel guests can go (other than their room) is the restaurant/function room. On arriving back at the hotel we discovered that restaurant/function room was booked out for an external private party and none of the hotelâ€¦",FALSE,The rooms for this hotel are quite small but to be fair to the hotel the sizes are listed on their website. Our main issue is the hotels policy on generating income as they seem to give priority to anyone that hires their function rooms over their guests. Other than the reception area the only place hotel guests can go (other than their room) is the restaurant/function room. On arriving back at the hotel we discovered that restaurant/function room was booked out for an external private party and none of the hotelâ€¦,"Overall a very nice hotel, a great location and the staff are very helpful so all good in that respect. After a meal in Greenwich village we decided to go back to the hotel for drinks rather than walking around looking for places to go as it was cold and raining.","The rooms for this hotel are quite small but to be fair to the hotel the sizes are listed on their website. Overall a very nice hotel, a great location and the staff are very helpful so all good in that respect.","Overall a very nice hotel, a great location and the staff are very helpful so all good in that respect. Other than the reception area the only place hotel guests can go (other than their room) is the restaurant/function room. On arriving back at the hotel we discovered that restaurant/function room was booked out for an external private party and none of the hotelâ€¦","Overall a very nice hotel, a great location and the staff are very helpful so all good in that respect.",
